    ,visit_id         ,site_url                        ,site_rank ,complete ,banners ,interaction    ,clicked        ,count_fp ,count_tp ,count_tr
  0 ,3655498787033561 ,https://mail.ru                 ,        0 ,True     ,      1 ,No interaction ,No interaction ,      19 ,      18 ,       2
  1 ,7698106651113604 ,https://zoom.us                 ,        1 ,False    ,      1 ,No interaction ,No interaction ,      34 ,      43 ,      24
  2 ,8170776279233418 ,https://europa.eu               ,        2 ,True     ,      1 ,No interaction ,No interaction ,       3 ,       0 ,       0
  3 ,2478062572311414 ,https://digicert.com            ,        3 ,True     ,      1 ,No interaction ,No interaction ,      35 ,      18 ,       4
  4 , 229993538067709 ,https://stackoverflow.com       ,        4 ,False    ,      1 ,No interaction ,No interaction ,       1 ,       0 ,       0
  5 ,7487160729005480 ,https://teamviewer.com          ,        5 ,True     ,      1 ,No interaction ,No interaction ,       5 ,       0 ,       0
  6 ,5558667940290608 ,https://amazon.co.uk            ,        6 ,True     ,      1 ,No interaction ,No interaction ,       7 ,       1 ,       1
  7 ,3344376045039942 ,https://hp.com                  ,        7 ,True     ,      1 ,No interaction ,No interaction ,       8 ,       0 ,       0
  8 ,3988175899992471 ,https://aliyun.com              ,        8 ,True     ,      1 ,No interaction ,No interaction ,       2 ,      21 ,       3
  9 ,6869971166118623 ,https://rackspace.com           ,        9 ,True     ,      1 ,No interaction ,No interaction ,      26 ,      28 ,       6
 10 ,3110150031673036 ,https://freepik.com             ,       10 ,True     ,      1 ,No interaction ,No interaction ,      27 ,      20 ,       9
 11 ,6178407618192923 ,https://springer.com            ,       11 ,True     ,      1 ,No interaction ,No interaction ,       2 ,       0 ,       0
 12 , 534278063538077 ,https://nature.com              ,       12 ,True     ,      1 ,No interaction ,No interaction ,       5 ,       0 ,       0
 13 ,7584022490678625 ,https://casalemedia.com         ,       13 ,True     ,      1 ,No interaction ,No interaction ,       0 ,       1 ,       0
 14 ,5519463594017293 ,https://surveymonkey.com        ,       14 ,True     ,      1 ,No interaction ,No interaction ,      28 ,      42 ,      28
 15 ,3714936936247078 ,https://paloaltonetworks.com    ,       15 ,True     ,      1 ,No interaction ,No interaction ,      53 ,      37 ,      18
 16 ,5600329365373185 ,https://nvidia.com              ,       16 ,True     ,      1 ,No interaction ,No interaction ,      40 ,      67 ,      38
 17 ,6006821627422441 ,https://imgsmail.ru             ,       17 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      37 ,       2
 18 ,5545613267779608 ,https://verisign.com            ,       18 ,True     ,      1 ,No interaction ,No interaction ,       3 ,       0 ,       0
 19 ,2759065440588615 ,https://swrve.com               ,       19 ,True     ,      1 ,No interaction ,No interaction ,       7 ,       0 ,       0
 20 ,7517509201300656 ,https://businesswire.com        ,       20 ,True     ,      1 ,No interaction ,No interaction ,      14 ,       8 ,       0
 21 ,7118951200784759 ,https://deloitte.com            ,       21 ,True     ,      1 ,No interaction ,No interaction ,      15 ,      23 ,      13
 22 ,4888665800584638 ,https://rt.com                  ,       22 ,True     ,      1 ,No interaction ,No interaction ,      10 ,      20 ,      10
 23 ,3282801989108135 ,https://docker.com              ,       23 ,True     ,      1 ,No interaction ,No interaction ,      12 ,       9 ,       0
 24 ,2441546785131864 ,https://ebay.co.uk              ,       24 ,True     ,      1 ,No interaction ,No interaction ,      20 ,      11 ,       0
 25 ,2027156192956944 ,https://abc.net.au              ,       25 ,True     ,      1 ,No interaction ,No interaction ,      28 ,       5 ,       4
 26 ,6752989884352864 ,https://plos.org                ,       26 ,True     ,      1 ,No interaction ,No interaction ,       3 ,       2 ,       0
 27 ,5926205545251345 ,https://doubleverify.com        ,       27 ,True     ,      1 ,No interaction ,No interaction ,       6 ,       0 ,       0
 28 ,5274875423207517 ,https://bmj.com                 ,       28 ,True     ,      1 ,No interaction ,No interaction ,      27 ,      14 ,       5
 29 , 876908850992309 ,https://getpocket.com           ,       29 ,True     ,      1 ,No interaction ,No interaction ,       8 ,       0 ,       0
 30 ,2048527361551870 ,https://supersonicads.com       ,       30 ,True     ,      1 ,No interaction ,No interaction ,       3 ,      37 ,       0
 31 ,7822333992207095 ,https://gartner.com             ,       31 ,True     ,      1 ,No interaction ,No interaction ,      28 ,      21 ,      10
 32 ,5044695505409025 ,https://branch.io               ,       32 ,True     ,      0 ,No interaction ,No interaction ,       0 ,       0 ,       0
 33 ,3402008684078962 ,https://teads.tv                ,       33 ,True     ,      1 ,No interaction ,No interaction ,       0 ,       2 ,       0
 34 , 426401124680618 ,https://ultradns.com            ,       34 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      29 ,       1
 35 ,6223443901659982 ,https://mlb.com                 ,       35 ,False    ,      0 ,No interaction ,No interaction ,      51 ,     247 ,     217
 36 , 172543811721207 ,https://blackboard.com          ,       36 ,True     ,      1 ,No interaction ,No interaction ,       6 ,       1 ,       1
 37 , 846470189336462 ,https://entrust.net             ,       37 ,True     ,      0 ,No interaction ,No interaction ,       0 ,       0 ,       0
 38 ,4392261262914568 ,https://slate.com               ,       38 ,True     ,      1 ,No interaction ,No interaction ,      41 ,     208 ,     171
 39 ,2302346521471693 ,https://amplitude.com           ,       39 ,True     ,      1 ,No interaction ,No interaction ,      25 ,      15 ,       2
 40 ,2597377024608303 ,https://thelancet.com           ,       40 ,True     ,      1 ,No interaction ,No interaction ,      11 ,       2 ,       1
 41 ,1153445882169970 ,https://ey.com                  ,       41 ,True     ,      1 ,No interaction ,No interaction ,       0 ,       5 ,       0
 42 ,5989588884945265 ,https://symantec.com            ,       42 ,True     ,      1 ,No interaction ,No interaction ,       0 ,       7 ,       0
 43 , 877159421668451 ,https://gamespot.com            ,       43 ,False    ,      0 ,No interaction ,No interaction ,      40 ,     245 ,     217
 44 ,2241660954562818 ,https://mediatek.com            ,       44 ,True     ,      1 ,No interaction ,No interaction ,       6 ,       4 ,       0
 45 ,8388534247511570 ,https://onetrust.com            ,       45 ,True     ,      1 ,No interaction ,No interaction ,       3 ,       0 ,       0
 46 ,4134600949079671 ,https://contextweb.com          ,       46 ,True     ,      1 ,No interaction ,No interaction ,       3 ,      23 ,       1
 47 ,1007081633757858 ,https://sap.com                 ,       47 ,True     ,      0 ,No interaction ,No interaction ,      34 ,      32 ,      17
 48 , 249238083882649 ,https://discogs.com             ,       48 ,True     ,      1 ,No interaction ,No interaction ,      32 ,      44 ,      30
 49 ,6484688930637239 ,https://rackspacecloud.com      ,       49 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      53 ,       6
 50 ,2197000270156435 ,https://gumgum.com              ,       50 ,True     ,      1 ,No interaction ,No interaction ,       7 ,       3 ,       0
 51 ,3188780042723228 ,https://app.link                ,       51 ,True     ,      0 ,No interaction ,No interaction ,       1 ,       0 ,       0
 52 ,6805635872006943 ,https://pendo.io                ,       52 ,True     ,      1 ,No interaction ,No interaction ,      31 ,      16 ,       2
 53 ,5724572125439487 ,https://agora.io                ,       53 ,True     ,      1 ,No interaction ,No interaction ,       5 ,       0 ,       0
 54 ,4442967823156610 ,https://databricks.com          ,       54 ,True     ,      1 ,No interaction ,No interaction ,      35 ,      28 ,      12
 55 ,7138786868312026 ,https://yieldmo.com             ,       55 ,True     ,      0 ,No interaction ,No interaction ,       9 ,       7 ,       0
 56 ,2324863430800505 ,https://mitre.org               ,       56 ,True     ,      1 ,No interaction ,No interaction ,       0 ,       1 ,       0
 57 , 858458722137654 ,https://acm.org                 ,       57 ,True     ,      1 ,No interaction ,No interaction ,       2 ,       3 ,       0
 58 ,6340961359757201 ,https://flaticon.com            ,       58 ,True     ,      0 ,No interaction ,No interaction ,      27 ,       3 ,       0
 59 ,8077123236006113 ,https://ssrn.com                ,       59 ,True     ,      1 ,No interaction ,No interaction ,       6 ,       0 ,       0
